geo_plz,bus_count,food_count,rail_count,hospital_count,doctor_count
1067,53,191,1172,17,5
1069,47,112,1070,0,21
1097,22,79,1015,14,6
1099,10,168,0,0,13
1108,8,10,1,0,1
1109,4,35,0,0,8
1127,7,41,0,0,2
1129,55,36,224,4,10
1139,2,41,0,0,3
1156,17,23,0,0,3
1157,0,32,0,0,1
1159,5,48,0,0,13
1169,0,17,0,0,7
1187,14,40,1,0,15
1189,7,13,0,0,1
1217,17,16,2,0,10
1219,49,43,283,0,17
1237,2,9,2,0,1
1239,2,11,0,0,0
1257,52,24,100,0,17
1259,0,11,0,0,3
1277,12,59,3,0,3
1279,0,19,0,0,2
1307,43,42,174,16,29
1309,7,46,4,3,19
1324,6,22,1,1,5
1326,67,27,21,0,1
1328,84,20,16,0,10
1445,7,84,0,1,25
1454,77,33,0,0,7
1458,31,21,0,0,1
1465,4,2,0,0,3
1468,28,37,0,0,2
1471,29,18,0,0,4
1477,20,5,0,0,3
1558,27,30,0,0,7
1561,23,28,0,0,11
1587,7,22,0,0,10
1589,4,17,0,1,3
1591,2,5,0,0,3
1594,0,12,0,0,3
1609,2,18,0,0,1
1612,0,24,0,0,4
1616,21,6,0,0,0
1619,5,5,0,0,1
1623,8,11,0,0,2
1640,24,41,0,1,11
1662,32,95,1,3,14
1665,230,29,217,0,3
1683,39,29,0,0,4
1689,83,29,359,3,10
1705,117,63,0,1,48
1723,88,28,102,0,5
1728,3,15,0,0,1
1731,1,11,0,0,2
1734,28,10,72,0,0
1737,69,24,172,0,4
1744,4,37,0,1,15
1762,15,1,0,0,0
1768,11,14,0,0,2
1773,62,53,196,0,2
1774,9,13,0,0,3
1776,6,6,0,0,0
1778,3,14,0,0,0
1796,10,85,0,1,8
1809,3,33,0,0,12
1814,76,68,531,6,0
1816,56,17,21,0,1
1819,0,0,0,0,0
1824,53,79,0,0,4
1825,1,2,0,0,1
1829,0,15,0,0,0
1833,39,25,0,0,6
1844,25,26,0,0,11
1847,0,8,0,0,0
1848,7,23,0,0,1
1855,38,49,0,1,7
1877,12,27,0,1,4
1896,44,17,42,0,1
1900,21,15,0,0,2
1904,9,13,0,0,7
1906,3,3,0,0,0
1909,9,5,0,0,1
1917,15,32,0,1,5
1920,36,26,0,0,6
1936,54,24,196,0,3
1945,40,20,0,0,3
1968,51,63,0,1,2
1979,39,17,121,2,2
1983,18,17,0,0,0
1987,22,7,0,0,1
1990,6,5,0,0,1
1993,5,2,0,0,1
1994,9,8,12,0,0
1996,2,2,174,0,0
1998,2,5,0,0,0
2625,70,95,0,1,74
2627,116,16,137,0,2
2633,7,6,0,0,0
2681,19,28,0,0,3
2689,2,18,0,0,1
2692,3,18,0,0,1
2694,26,19,0,0,2
2699,13,8,0,0,1
2708,26,54,0,0,9
2727,13,11,0,0,0
2730,36,11,0,1,0
2733,1,11,0,0,3
2736,12,8,0,0,1
2739,20,10,0,0,0
2742,2,10,0,0,0
2747,44,10,0,0,5
2748,35,7,0,0,1
2763,38,61,0,1,12
2779,33,16,0,0,5
2782,1,7,0,0,0
2785,3,7,0,0,2
2788,3,4,0,0,0
2791,0,14,0,0,2
2794,4,8,0,0,2
2796,17,14,0,0,1
2797,0,28,0,0,0
2799,8,10,0,0,0
2826,46,103,450,47,10
2827,35,25,0,2,3
2828,34,9,0,1,1
2829,94,16,0,0,0
2894,67,10,0,0,2
2899,12,5,22,0,0
2906,94,27,188,0,3
2923,46,10,278,0,1
2929,41,12,0,0,0
2943,101,34,0,1,1
2953,27,20,0,0,1
2956,21,8,0,0,1
2957,46,12,0,0,2
2959,37,10,133,0,1
2977,44,61,0,0,6
2979,41,21,434,0,0
2991,9,9,0,0,1
2994,3,8,0,0,1
2997,5,15,0,0,0
2999,33,17,131,0,5
3042,20,18,3,0,4
3044,79,23,180,0,3
3046,30,74,32,0,11
3048,30,12,8,1,8
3050,28,16,14,1,6
3051,54,11,6,0,0
3052,13,0,138,0,1
3053,11,0,17,0,0
3054,18,0,0,0,0
3055,17,4,5,0,0
3058,29,13,0,0,0
3096,93,66,31,0,3
3099,52,14,0,0,0
3103,10,3,0,0,0
3116,33,11,91,0,0
3119,6,5,70,0,0
3130,135,48,386,2,2
3149,50,39,0,1,1
3159,38,9,0,0,0
3172,94,34,223,4,5
3185,48,19,0,0,1
3197,6,3,0,0,1
3205,30,19,0,0,4
3222,62,65,0,0,15
3226,18,14,0,0,1
3229,16,16,55,0,1
3238,111,44,0,2,0
3246,0,4,38,0,1
3249,8,1,56,0,0
3253,62,11,0,0,1
4103,17,53,6,1,6
4105,3,46,2,0,9
4107,19,68,92,1,9
4109,24,223,11,0,4
4129,11,41,674,1,0
4155,4,46,1,0,8
4157,15,25,1,0,8
4158,41,17,1,0,3
4159,23,42,0,0,4
4177,12,72,2,1,1
4178,24,33,1,0,2
4179,33,39,637,1,4
4205,19,9,1,0,3
4207,33,20,1,1,9
4209,11,14,99,0,3
4229,29,123,548,0,17
4249,39,19,2,0,5
4275,28,53,305,0,8
4277,15,62,4,1,10
4279,11,19,0,0,5
4288,28,11,0,0,1
4289,24,11,86,3,1
4299,22,24,137,1,0
4315,8,53,373,0,8
4316,27,4,23,0,2
4317,22,57,317,4,12
4318,29,26,256,0,2
4319,20,15,506,0,6
4328,11,12,0,0,1
4329,3,24,138,0,5
4347,44,31,1017,0,2
4349,29,12,0,0,1
4356,40,15,210,0,0
4357,14,14,312,0,2
4416,60,47,319,0,6
4420,75,28,0,0,1
4425,32,25,222,0,5
4435,67,39,366,4,5
4442,40,33,109,1,5
4451,24,5,147,0,1
4463,24,16,45,0,0
4509,107,50,0,0,8
4519,17,6,172,0,1
4523,29,13,99,0,0
4539,55,18,79,25,5
4552,50,34,169,7,5
4564,16,10,0,0,1
4565,8,3,52,0,3
4567,15,7,18,0,0
4571,24,15,190,0,2
4575,23,13,135,0,1
4600,95,73,221,20,10
4603,38,13,0,0,3
4610,39,20,196,0,5
4613,8,5,14,0,3
4617,69,15,101,0,2
4618,9,4,24,0,3
4626,121,36,90,6,2
4639,25,9,183,0,0
4643,14,19,0,0,18
4651,31,14,145,16,6
4654,41,34,109,0,1
4668,198,58,427,7,12
4680,26,18,107,0,3
4683,46,21,0,0,2
4687,19,3,0,0,1
4703,43,22,99,26,0
4720,120,47,356,1,2
4736,7,14,0,0,3
4741,5,22,0,0,2
4746,15,8,0,0,3
4749,0,6,0,0,2
4758,38,32,0,1,3
4769,34,9,146,0,2
4774,2,8,0,1,3
4779,15,11,0,0,0
4808,45,52,0,1,31
4821,28,7,0,0,2
4824,15,3,60,0,2
4827,7,10,117,0,2
4828,34,9,60,1,0
4838,62,25,702,1,3
4849,23,20,33,1,9
4860,68,64,274,7,3
4861,0,4,0,0,0
4862,14,7,0,0,0
4874,17,14,15,0,4
4880,26,10,45,0,0
4886,6,5,0,0,0
4889,19,10,11,0,1
4895,39,12,914,0,6
4910,17,17,302,1,3
4916,29,20,203,1,2
4924,31,29,145,0,4
4928,1,3,18,0,1
4931,14,9,200,33,4
4932,6,11,0,0,1
4934,1,5,57,0,1
4936,29,6,29,0,1
4938,10,5,91,0,0
6108,6,160,227,1,13
6110,94,77,215,5,13
6112,35,29,3,1,4
6114,0,43,133,1,9
6116,59,10,656,0,2
6118,15,14,0,0,5
6120,64,34,202,7,3
6122,20,22,65,0,14
6124,23,14,166,1,4
6126,22,9,121,0,0
6128,24,13,0,0,1
6130,2,6,0,0,0
6132,45,31,662,0,7
6179,12,18,0,0,3
6184,8,9,0,0,2
6188,35,28,0,0,1
6193,35,37,0,0,6
6198,27,23,0,0,3
6217,37,54,514,0,8
6231,15,22,137,0,0
6237,19,31,644,0,0
6242,8,16,134,0,1
6246,4,14,0,0,1
6249,15,15,45,0,3
6258,54,22,588,0,2
6259,0,4,0,0,0
6268,12,25,0,1,2
6279,2,4,0,0,1
6295,24,25,0,1,3
6308,3,5,0,0,0
6311,1,3,0,0,2
6313,1,3,0,0,0
6317,1,20,0,0,3
6333,8,7,0,2,4
6343,15,16,0,0,0
6347,4,4,0,0,0
